x	y
0	0.149992500374981
0.2	0.179491025448728
0.4	0.184240787960602
0.6	0.164991750412479
0.8	0.168741562921854
1	0.192490375481226
1.2	0.235988200589971
1.4	0.221738913054347
1.6	0.192490375481226
1.8	0.199490025498725
2	0.196490175491225
2.2	0.173741312934353
2.4	0.195240237988101
2.6	0.219239038048097
2.8	0.200489975501225
3	0.202489875506224
3.2	0.191240437978101
3.4	0.212489375531224
3.6	0.214239288035598
3.8	0.236488175591221
4	0.231488425578721
4.2	0.223488825558722
4.4	0.206989650517474
4.6	0.190240487975601
4.8	0.215989200539974
5	0.215989200539974
