x	y
0	0.0466643334499942
0.03	0.0349982500874956
0.06	0.0466643334499942
0.09	0.0633301668249921
0.12	0.131660083662484
0.15	0.138326417012483
0.18	0.193323667149976
0.21	0.189990500474976
0.24	0.194990250487475
0.27	0.328316917487459
0.3	0.396646834324951
0.33	0.39831341766245
0.36	0.543306168024932
0.39	0.684965751712415
0.42	0.718297418462411
0.45	0.929953502324883
0.48	1.00328316917487
0.51	1.03161508591237
0.54	1.37993100344983
0.57	1.33326666999983
0.6	1.30660133659984
0.63	1.37493125343733
0.66	1.50492475376231
0.69	1.39326367014982
0.72	1.41992900354982
0.75	1.42826192023732
0.78	1.42659533689983
0.81	1.42992850357482
0.84	1.62825192073729
0.87	1.28493575321234
0.9	1.33993300334983
0.93	1.09494525273736
0.96	1.04661433594987
0.99	0.916620835624885
1.02	0.688298918387413
1.05	0.619969001549922
1.08	0.549972501374935
1.11	0.458310417812442
1.14	0.434978251087445
1.17	0.371648084262453
1.2	0.206656333849974
1.23	0.216655833874973
1.26	0.186657333799976
1.29	0.219989000549974
1.32	0.176657833774978
1.35	0.123327166974984
1.38	0.118327416962485
1.41	0.094995250237488
1.44	0.0549972501374931
1.47	0.071663083512491
1.5	0.0199990000499975
1.53	0.00999950002499874
1.56	0.00333316667499961
1.59	0.00666633334999916
1.62	0.00333316667499958
1.65	0.0116660833624985
1.68	0.0166658333749979
1.71	0.0566638334749929
1.74	0.0233321667249971
1.77	0.0633301668249925
1.8	0.039998000099995
1.83	0.0283319167374964
1.86	0.00999950002499874
1.89	0.0266653333999966
1.92	0.0183324167124977
1.95	0.00333316667499958
1.98	0
2.01	0.00333316667499956
2.04	0
2.07	0.00333316667499956
2.1	0.00333316667499961
2.13	0
2.16	0.00499975001249941
2.19	0.00499975001249941
