x	y
1.17	0.00499975001249937
1.2	0.00999950002499874
1.23	0.0333316667499958
1.26	0.0566638334749929
1.29	0.103328166924988
1.32	0.118327416962485
1.35	0.111661083612486
1.38	0.286652334049964
1.41	0.548305918037431
1.44	0.63496825158742
1.47	1.06494675266237
1.5	1.17160808626236
1.53	1.42992850357481
1.56	1.53492325383732
1.59	1.5615885872373
1.62	1.73657983767478
1.65	1.75491225438728
1.68	1.91990400479976
1.71	1.76991150442479
1.74	1.82657533789976
1.77	1.87823942136228
1.8	1.85157408796227
1.83	1.90157158808726
1.86	1.5749212539373
1.89	1.35159908671233
1.92	1.27993600319984
1.95	1.23327166974984
1.98	0.954952252387387
2.01	0.844957752112387
2.04	0.564971751412433
2.07	0.50330816792494
2.1	0.418312417712444
2.13	0.354982250887453
2.16	0.279986000699967
2.19	0.198323417162477
2.22	0.138326417012482
2.25	0.101661583587488
2.28	0.0566638334749933
2.31	0.029998500074996
2.34	0.0233321667249969
2.37	0.0316650834124962
2.4	0.0183324167124978
2.43	0.0249987500624967
2.46	0.00666633334999921
2.49	0.00999950002499882
2.52	0.00666633334999911
2.55	0.00666633334999911
2.58	0.00833291668749901
2.61	0.00833291668749901
